model,split,threshold,precision,recall,f1,pred_positive_rate,pred_positive_count
lgbm_pr_regularized_seed2026,val,0.95,0.7346278317152104,0.23305954825462014,0.35385814497272017,0.011820059674087675,309
lgbm_pr_regularized_seed2026,test,0.5,0.2699917559769167,0.6724845995893224,0.38529411764705884,0.09280085685869482,2426
lgbm_pr_regularized_seed2026,test,0.6,0.3486880466472303,0.6139630390143738,0.4447750092971365,0.06560324382220183,1715
lgbm_pr_regularized_seed2026,test,0.65,0.3914246196403873,0.5811088295687885,0.4677685950413223,0.05531328896029378,1446
lgbm_pr_regularized_seed2026,test,0.7,0.44286905754795663,0.5451745379876797,0.4887252646111367,0.04586489174508454,1199
lgbm_pr_regularized_seed2026,test,0.75,0.49587628865979383,0.4938398357289528,0.4948559670781893,0.03710504169535613,970
lgbm_pr_regularized_seed2026,test,0.8,0.5485074626865671,0.4527720739219713,0.49606299212598426,0.03075510672481065,804
lgbm_pr_regularized_seed2026,test,0.85,0.6060126582278481,0.3932238193018481,0.47696139476961397,0.024175656032438222,632
lgbm_pr_regularized_seed2026,test,0.9,0.6837416481069042,0.31519507186858314,0.4314827828531272,0.017175426516716396,449
lgbm_pr_regularized_seed2026,test,0.95,0.7908745247148289,0.2135523613963039,0.33629749393694425,0.010060439140081095,263
lgbm_pr_regularized_seed777,val,0.5,0.23673606447280054,0.7238193018480493,0.3567813765182186,0.11391630326677378,2978
lgbm_pr_regularized_seed777,val,0.6,0.3031161473087819,0.6591375770020534,0.4152652005174644,0.08101904980491163,2118
lgbm_pr_regularized_seed777,val,0.65,0.33463905987688863,0.6139630390143738,0.43317638536762043,0.06835743248412517,1787
lgbm_pr_regularized_seed777,val,0.7,0.3752563226247437,0.5636550308008214,0.4505539597866229,0.05596358350547012,1463
lgbm_pr_regularized_seed777,val,0.75,0.4252775405636208,0.5112936344969199,0.4643356643356643,0.0447938183765588,1171
lgbm_pr_regularized_seed777,val,0.8,0.48981779206859594,0.46919917864476385,0.4792868379653907,0.03568969474408997,933
lgbm_pr_regularized_seed777,val,0.85,0.5606469002695418,0.4271047227926078,0.48484848484848486,0.028383444265932218,742
lgbm_pr_regularized_seed777,val,0.9,0.6231884057971014,0.3531827515400411,0.4508519003931848,0.021115446408078952,552
lgbm_pr_regularized_seed777,val,0.95,0.7287581699346405,0.22895277207392198,0.3484375,0.011705301813174203,306
lgbm_pr_regularized_seed777,test,0.5,0.2391304347826087,0.7002053388090349,0.35650810245687403,0.10909647310840792,2852
lgbm_pr_regularized_seed777,test,0.6,0.30957128614157525,0.6375770020533881,0.4167785234899329,0.07673475633080866,2006
lgbm_pr_regularized_seed777,test,0.65,0.35431654676258995,0.606776180698152,0.4473883421650265,0.06380537066789076,1668
lgbm_pr_regularized_seed777,test,0.7,0.40173410404624277,0.5708418891170431,0.4715860899067006,0.052941626501415345,1384
lgbm_pr_regularized_seed777,test,0.75,0.4591651542649728,0.5195071868583162,0.48747591522157996,0.04215438757554892,1102
lgbm_pr_regularized_seed777,test,0.8,0.5211912943871707,0.4671457905544148,0.4926908500270709,0.03339453752582052,873
lgbm_pr_regularized_seed777,test,0.85,0.5955555555555555,0.4127310061601643,0.48756822316555487,0.02582051870553133,675
lgbm_pr_regularized_seed777,test,0.9,0.6506024096385542,0.3326488706365503,0.44021739130434784,0.019049804911636447,498
lgbm_pr_regularized_seed777,test,0.95,0.7669172932330827,0.20944558521560575,0.32903225806451614,0.010175197000994568,266
lgbm_auc_unweighted_seed42,val,0.5,0.7,0.2946611909650924,0.4147398843930636,0.015683574324841253,410
lgbm_auc_unweighted_seed42,val,0.6,0.782608695652174,0.22176591375770022,0.3456,0.010557723204039476,276
lgbm_auc_unweighted_seed42,val,0.65,0.8318181818181818,0.18788501026694046,0.3065326633165829,0.00841557646698799,220
lgbm_auc_unweighted_seed42,val,0.7,0.8636363636363636,0.15605749486652978,0.2643478260869565,0.006732461173590391,176
lgbm_auc_unweighted_seed42,val,0.75,0.8796992481203008,0.12012320328542095,0.21138211382113822,0.005087598500497284,133
lgbm_auc_unweighted_seed42,val,0.8,0.9195402298850575,0.08213552361396304,0.15080113100848255,0.0033279779664907045,87
lgbm_auc_unweighted_seed42,val,0.85,0.9230769230769231,0.049281314168377825,0.0935672514619883,0.001989136255833525,52
lgbm_auc_unweighted_seed42,val,0.9,1.0,0.023613963039014373,0.04613841524573721,0.0008798102670032898,23
lgbm_auc_unweighted_seed42,val,0.95,1.0,0.00513347022587269,0.010214504596527068,0.0001912631015224543,5
lgbm_auc_unweighted_seed42,test,0.5,0.7371428571428571,0.2648870636550308,0.38972809667673713,0.0133884171065718,350
lgbm_auc_unweighted_seed42,test,0.6,0.8114754098360656,0.2032854209445585,0.3251231527093596,0.00933363935429577,244
lgbm_auc_unweighted_seed42,test,0.65,0.8434343434343434,0.17145790554414783,0.28498293515358364,0.00757401882028919,198
lgbm_auc_unweighted_seed42,test,0.7,0.852760736196319,0.14271047227926079,0.24450307827616535,0.00623517710963201,163
lgbm_auc_unweighted_seed42,test,0.75,0.8584070796460177,0.09958932238193019,0.17847286108555657,0.004322546094407467,113
lgbm_auc_unweighted_seed42,test,0.8,0.9041095890410958,0.06776180698151951,0.12607449856733524,0.002792441282227833,73
