model,split,target_fpr,actual_fpr,recall_at_fpr,threshold,precision_at_fpr,pred_positive_rate,pred_positive_count
lgbm_pr_regularized_seed777,val,0.02,0.019906230133502862,0.4753593429158111,0.7925886898459251,0.4802904564315353,0.03687552597352919,964
lgbm_pr_regularized_seed777,val,0.03,0.029998410680228862,0.5359342915811088,0.7310280336421625,0.40877055599060297,0.048848596128834826,1277
lgbm_pr_regularized_seed777,val,0.05,0.049864907819453276,0.6283367556468172,0.639183959944446,0.3277986073915372,0.07141764210848443,1867
lgbm_pr_regularized_seed777,test,0.005,0.004966624284806103,0.28542094455852157,0.9208106239663413,0.6898263027295285,0.015415805982709816,403
lgbm_pr_regularized_seed777,test,0.01,0.009933248569612207,0.39014373716632444,0.8653579949132526,0.6031746031746031,0.02409915079182924,630
lgbm_pr_regularized_seed777,test,0.02,0.01994596312778131,0.4887063655030801,0.7756196142231278,0.4867075664621677,0.03741106265779206,978
lgbm_pr_regularized_seed777,test,0.03,0.029799745708836617,0.5513347022587269,0.7154434743441841,0.4172494172494173,0.049231122331879734,1287
lgbm_pr_regularized_seed777,test,0.05,0.04962650985378258,0.6262833675564682,0.6208627422276968,0.328133405056482,0.0711116211460485,1859
lgbm_auc_unweighted_seed42,val,0.005,0.004926891290527654,0.30184804928131415,0.494271344457741,0.7033492822966507,0.01598959528727718,418
lgbm_auc_unweighted_seed42,val,0.01,0.009972981563890655,0.39014373716632444,0.335732070753151,0.6022187004754358,0.02413740341213373,631
lgbm_auc_unweighted_seed42,val,0.02,0.01998569612205976,0.486652977412731,0.20010832177906968,0.4851586489252815,0.03737281003748757,977
lgbm_auc_unweighted_seed42,val,0.03,0.029998410680228862,0.5308008213552361,0.14652768399864705,0.40644654088050314,0.04865733302731237,1272
lgbm_auc_unweighted_seed42,val,0.05,0.04998410680228862,0.62217659137577,0.09558337488435784,0.3251072961373391,0.07130288424757096,1864
lgbm_auc_unweighted_seed42,test,0.005,0.004926891290527654,0.30390143737166325,0.4483105830493368,0.7047619047619048,0.01606610052788616,420
lgbm_auc_unweighted_seed42,test,0.01,0.009893515575333757,0.4106776180698152,0.30712915455741524,0.6163328197226502,0.024825950577614567,649
lgbm_auc_unweighted_seed42,test,0.02,0.01994596312778131,0.5112936344969199,0.18458139952468078,0.498,0.03825262030449086,1000
lgbm_auc_unweighted_seed42,test,0.03,0.029998410680228862,0.5646817248459959,0.1348641802930687,0.421455938697318,0.04991966949736057,1305
lgbm_auc_unweighted_seed42,test,0.05,0.04998410680228862,0.6375770020533881,0.09083120270091971,0.3304949441192123,0.07187667355213832,1879
lgbm_auc_unweighted_seed2026,val,0.005,0.004926891290527654,0.3049281314168378,0.4945748172272462,0.7054631828978623,0.016104353148190653,421
lgbm_auc_unweighted_seed2026,val,0.01,0.009933248569612207,0.38809034907597534,0.338657049684942,0.6019108280254777,0.02402264555122026,628
lgbm_auc_unweighted_seed2026,val,0.02,0.01982676414494596,0.48357289527720737,0.2036739154851228,0.48556701030927835,0.03710504169535613,970
lgbm_auc_unweighted_seed2026,val,0.03,0.029918944691671966,0.5369609856262834,0.14672138692670678,0.4098746081504702,0.048810343508530335,1276
lgbm_auc_unweighted_seed2026,val,0.05,0.04974570883661793,0.6149897330595483,0.095788129446317,0.3236088600756348,0.07080560018361258,1851
lgbm_auc_unweighted_seed2026,test,0.005,0.004887158296249206,0.30390143737166325,0.44960291070847574,0.7064439140811456,0.01602784790758167,419
lgbm_auc_unweighted_seed2026,test,0.01,0.009972981563890655,0.41478439425051333,0.3048805554740438,0.616793893129771,0.02505546629944151,655
lgbm_auc_unweighted_seed2026,test,0.02,0.01994596312778131,0.5112936344969199,0.18397265293472523,0.498,0.03825262030449086,1000
lgbm_auc_unweighted_seed2026,test,0.03,0.029918944691671966,0.5616016427104723,0.13634483441620554,0.4207692307692308,0.049728406395838115,1300
lgbm_auc_unweighted_seed2026,test,0.05,0.04998410680228862,0.6437371663244353,0.09129071528267689,0.33262599469496024,0.07210618927396527,1885
lgbm_auc_unweighted_seed777,val,0.005,0.004926891290527654,0.2997946611909651,0.4941536551598683,0.7019230769230769,0.0159130900466682,416
lgbm_auc_unweighted_seed777,val,0.01,0.009972981563890655,0.39630390143737165,0.3327486773951205,0.6059654631083202,0.024366919133960677,637
lgbm_auc_unweighted_seed777,val,0.02,0.01994596312778131,0.4804928131416838,0.20563464279974053,0.4824742268041237,0.03710504169535613,970
lgbm_auc_unweighted_seed777,val,0.03,0.029958677685950414,0.5379876796714579,0.14877962613975562,0.41001564945226915,0.04888684874913932,1278
lgbm_auc_unweighted_seed777,val,0.05,0.049864907819453276,0.6129363449691991,0.09608482371670087,0.32235421166306694,0.07084385280391707,1852
lgbm_auc_unweighted_seed777,test,0.005,0.004688493324856961,0.29774127310061604,0.45873417701452107,0.7107843137254902,0.01560706908423227,408
lgbm_auc_unweighted_seed777,test,0.01,0.009972981563890655,0.4086242299794661,0.3083307337381553,0.613251155624037,0.024825950577614567,649
lgbm_auc_unweighted_seed777,test,0.02,0.019548633184996823,0.5143737166324436,0.1828565925815306,0.5045317220543807,0.03798485196235942,993
lgbm_auc_unweighted_seed777,test,0.03,0.029998410680228862,0.5605749486652978,0.13612869162170146,0.4196771714066103,0.049766659016142606,1301
lgbm_auc_unweighted_seed777,test,0.05,0.049825174825174824,0.6406570841889117,0.0925652085194656,0.33226837060702874,0.07183842093183383,1878
